French,English
histoire,history
chercher,search
seulement,only
demande,request
mois,month
frère,brother
car,because
laisse,leash
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
parle,speak
compris,understood
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
corps,body
écoute,listen
dont,whose
premier,first
perdu,lost
côté,side
pouvoir,power
vieux,old
tiens,here
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
